ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
1,S.VIJAYAKUMAR,TVK,94320,92.58,TVK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,SUDHAKAR.V,AIADMK,66375,92.58,AIADMK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,T.J.GOVINDARAJAN,DMK,62492,92.58,DMK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,"R.SRIDAR. B.L.,",NTK,4756,92.58,NTK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,NOTA,NOTA,937,92.58,NOTA,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,M.JAGADEESAN,Bahujan Samaj Party,697,92.58,BSP,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,599,92.58,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,G.RANJITH B.SC.L.L.B,IND,503,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,336,92.58,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,D.SUDHAKAR,IND,321,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,M.KUMARAN,IND,260,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,D.DINESH,IND,222,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,V.SUDHAKAR,IND,217,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,T.GOVINDAN,IND,206,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,GOPAL.K,IND,177,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,A.H. SIVA GANESH,IND,104,92.58,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
2,DR.RAVI.M.S,TVK,110439,89.63,TVK,Ponneri,Tiruvallur,Chennai Metro,SC
2,DURAI CHANDRASEKAR,INC,54671,89.63,INC,Ponneri,Tiruvallur,Chennai Metro,SC
2,BALARAMAN.P,AIADMK,51468,89.63,AIADMK,Ponneri,Tiruvallur,Chennai Metro,SC
2,RAJATHI.M,NTK,6676,89.63,NTK,Ponneri,Tiruvallur,Chennai Metro,SC
2,NOTA,NOTA,865,89.63,NOTA,Ponneri,Tiruvallur,Chennai Metro,SC
2,SANTHOSHKUMAR.J,Bahujan Samaj Party,615,89.63,BSP,Ponneri,Tiruvallur,Chennai Metro,SC
2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,89.63,Tamizhaga Murpokku Makkal Katchi,Ponneri,Tiruvallur,Chennai Metro,SC
2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,366,89.63,Desiya Makkal Sakthi Katchi,Ponneri,Tiruvallur,Chennai Metro,SC
2,RAJA.S,Vanchit Bahujan Aaghadi,299,89.63,Vanchit Bahujan Aaghadi,Ponneri,Tiruvallur,Chennai Metro,SC
2,RAJASEKAR.J,IND,289,89.63,IND,Ponneri,Tiruvallur,Chennai Metro,SC
2,NAGAIYAN.G,IND,232,89.63,IND,Ponneri,Tiruvallur,Chennai Metro,SC
2,VENKATESAN.S,IND,203,89.63,IND,Ponneri,Tiruvallur,Chennai Metro,SC
2,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,166,89.63,Tamizhaga Vaazhvurimai Katchi,Ponneri,Tiruvallur,Chennai Metro,SC
2,BARATHIRAJA.K,IND,159,89.63,IND,Ponneri,Tiruvallur,Chennai Metro,SC
3,G.HARI,AIADMK,89169,93.5,AIADMK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,M.SATHYA KUMAR,TVK,83376,93.5,TVK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,D.KRISHNAMURTHY,DMDK,54863,93.5,DMDK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,CHANDRAN .S.S,NTK,6704,93.5,NTK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,NOTA,NOTA,1210,93.5,NOTA,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,KRISHNAMOORTHY.M,IND,946,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,JAMBU.B,IND,628,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,MUTHURAJ.G,Bahujan Samaj Party,470,93.5,BSP,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,KRISHNAMOORTHY.D,IND,467,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,BALAJI.A,Thakkam Katchi,272,93.5,Thakkam Katchi,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,KRISHNAMOORTHY.K,IND,210,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,DR.A.V.NARENDRAN,IND,198,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,SHETTU.S,IND,153,93.5,IND,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,132,93.5,Tamizhaga Vaazhvurimai Katchi,Tiruttani,Tiruvallur,Chennai Metro,GEN
4,DR. T. ARUNKUMAR,TVK,92190,89.34,TVK,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,V.G. RAAJENDRAN,DMK,67430,89.34,DMK,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,BE  VEE RAMANAH,AIADMK,56562,89.34,AIADMK,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,K. SENTHILKUMAR,NTK,5513,89.34,NTK,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,NOTA,NOTA,1132,89.34,NOTA,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,S. RAJENDRAN,IND,868,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,B. RAJESH KUMAR,Bahujan Samaj Party,674,89.34,BSP,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,E. MANI,Republican Party of India (Athawale),653,89.34,Republican Party of India (Athawale),Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,354,89.34,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,G. RAJENDIRAN,IND,227,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,E.KOTHANDAN,IND,203,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,N. BALAKRISHNAN,IND,186,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,N. NAGENDRABABU,IND,184,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,89.34,Tamizhaga Vaazhvurimai Katchi,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,R. RAMANAN,IND,118,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
5,PRAKASAM.R,TVK,161309,85.71,TVK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,KRISHNASWAMY.A,DMK,88569,85.71,DMK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,ELUMALAI.T.A,AMMK,43280,85.71,AMMK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,MEKALA.J,NTK,11697,85.71,NTK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,NOTA,NOTA,1571,85.71,NOTA,Poonamallee,Tiruvallur,Chennai Metro,SC
5,RAJASEKARAN.K,Bahujan Samaj Party,860,85.71,BSP,Poonamallee,Tiruvallur,Chennai Metro,SC
5,RAVIKUMAR.M,IND,355,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,DR.JAYANTHI.R,IND,304,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,SIVAKUMAR.S,IND,297,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,VELU.S,IND,264,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,PURUSHOTHAMAN.B,IND,255,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,DHASARATHAN.R,IND,133,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
6,R.RAMESH KUMAR,TVK,180384,78.96,TVK,Avadi,Tiruvallur,Chennai Metro,GEN
6,S.M.NASAR,DMK,104073,78.96,DMK,Avadi,Tiruvallur,Chennai Metro,GEN
6,RAJASIMHA MAHENDRA,BJP,39605,78.96,BJP,Avadi,Tiruvallur,Chennai Metro,GEN
