ac_number,constituency,party_2021,votes_2021,region,reserved,turnout_2021,party_2026,votes_2026,turnout_2026,is_flip
1,Gummidipundi,DMK,126452,Chennai Metro,GEN,78.08,TVK,94320,92.58,True
2,Ponneri,INC,94528,Chennai Metro,SC,78.2,TVK,110439,89.63,True
3,Tiruttani,DMK,120314,Chennai Metro,GEN,78.76,AIADMK,89169,93.5,True
4,Thiruvallur,DMK,107709,Chennai Metro,GEN,77.2,TVK,92190,89.34,True
5,Poonamallee,DMK,149578,Chennai Metro,SC,72.99,TVK,161309,85.71,True
6,Avadi,DMK,150287,Chennai Metro,GEN,67.37,TVK,180384,78.96,True
7,Maduravoyal,DMK,121298,Chennai Metro,GEN,60.3,TVK,141725,74.9,True
8,Ambattur,DMK,114554,Chennai Metro,GEN,62.01,TVK,133339,74.21,True
9,Madavaram,DMK,151485,Chennai Metro,GEN,66.37,TVK,190462,78.43,True
10,Thiruvottiyur,DMK,88185,Chennai Metro,GEN,65.15,TVK,110067,79.21,True
11,Dr. Radhakrishnan Nagar,DMK,95763,Chennai Metro,GEN,70.98,TVK,97800,85.66,True
12,Perambur,DMK,105267,Chennai Metro,GEN,63.0,TVK,120365,75.77,True
13,Kolathur,DMK,105522,Chennai Metro,GEN,61.04,TVK,82997,72.03,True
14,Villivakkam,DMK,76127,Chennai Metro,GEN,55.92,TVK,66445,70.31,True
15,Thiru-Vi-Ka-Nagar,DMK,81727,Chennai Metro,SC,60.62,TVK,69125,72.21,True
16,Egmore,DMK,68832,Chennai Metro,SC,61.13,TVK,53901,73.38,True
17,Royapuram,DMK,64424,Chennai Metro,GEN,62.6,TVK,59091,75.07,True
18,Harbour,DMK,59317,Chennai Metro,GEN,57.64,DMK,45254,69.82,False
19,Chepauk-Thiruvallikeni,DMK,93285,Chennai Metro,GEN,58.33,DMK,62992,70.72,False
20,Thousand Lights,DMK,71867,Chennai Metro,GEN,56.25,TVK,58965,69.64,True
21,Anna Nagar,DMK,80054,Chennai Metro,GEN,57.33,TVK,71375,69.31,True
22,Virugampakkam,DMK,74351,Chennai Metro,GEN,57.59,TVK,76092,69.51,True
23,Saidapet,DMK,80194,Chennai Metro,GEN,57.36,TVK,81205,70.42,True
24,Theayagaraya Nagar,DMK,56035,Chennai Metro,GEN,55.99,TVK,51632,70.04,True
25,Mylapore,DMK,68392,Chennai Metro,GEN,56.6,TVK,70070,69.0,True
26,Velachery,INC,68493,Chennai Metro,GEN,56.18,TVK,80430,68.53,True
27,Shozhinganallur,DMK,171558,Chennai Metro,GEN,55.51,TVK,220382,69.5,True
28,Alandur,DMK,116785,Chennai Metro,GEN,60.82,TVK,112205,73.55,True
29,Sriperumbudur,INC,115353,Chennai Metro,SC,73.94,TVK,147611,85.37,True
30,Pallavaram,DMK,126427,Chennai Metro,GEN,60.86,TVK,133611,71.02,True
31,Tambaram,DMK,116840,Chennai Metro,GEN,59.55,TVK,118967,70.99,True
32,Chengalpattu,DMK,130573,Chennai Metro,GEN,63.54,TVK,137136,75.08,True
33,Thiruporur,VCK,93954,North,GEN,76.36,TVK,110095,87.94,True
34,Cheyyur,VCK,82750,North,SC,77.88,AIADMK,63809,90.31,True
35,Maduranthakam,AIADMK,86646,North,SC,80.65,AIADMK,69284,89.88,False
36,Uthiramerur,DMK,93427,North,GEN,80.1,TVK,84917,93.17,True
37,Kancheepuram,DMK,102712,North,GEN,73.28,TVK,91350,85.26,True
38,Arakonam,AIADMK,85399,North,SC,74.89,TVK,73776,88.46,True
39,Sholinghur,INC,110228,North,GEN,80.09,TVK,84506,94.26,True
40,Katpadi,DMK,85140,North,GEN,74.0,TVK,69868,85.15,True
41,Ranipet,DMK,103291,North,GEN,77.24,TVK,91149,88.89,True
42,Arcot,DMK,103885,North,GEN,79.62,AIADMK,105608,92.43,True
43,Vellore,DMK,84299,North,GEN,70.25,TVK,73032,82.7,True
44,Anaikattu,DMK,95159,North,GEN,77.05,AIADMK,76302,87.98,True
45,Kilvaithinankuppam,AIADMK,84579,North,SC,76.5,TVK,74305,88.6,True
46,Gudiyatham,DMK,100412,North,SC,72.56,TVK,82858,85.5,True
47,Vaniayambadi,AIADMK,88018,North,GEN,75.55,IUML,73181,86.34,True
48,Ambur,DMK,90476,North,GEN,74.01,DMK,74102,84.58,False
49,Jolarpet,DMK,89490,North,GEN,80.98,AIADMK,78633,91.48,True
50,Tiruppattur,DMK,96522,North,GEN,76.97,TVK,105098,86.69,True
51,Uthangarai,AIADMK,99675,North,SC,78.37,TVK,70201,89.99,True
52,Bargur,DMK,97256,North,GEN,79.08,AIADMK,71240,91.92,True
53,Krishnagiri,AIADMK,96050,North,GEN,78.5,TVK,89374,90.87,True
54,Veppanahalli,AIADMK,94104,North,GEN,81.31,DMK,74691,90.59,True
55,Hosur,DMK,118231,North,GEN,70.09,AIADMK,109867,79.71,True
56,Thalli,CPI,120641,North,GEN,77.06,CPI,78283,87.56,False
57,Palacode,AIADMK,110070,North,GEN,87.37,AIADMK,102807,98.0,False
58,Pennagaram,PMK,106123,North,GEN,85.0,TVK,81240,95.92,True
59,Dharmapuri,PMK,105630,North,GEN,79.69,PMK,93713,89.25,False
60,Pappireddippatti,AIADMK,114507,North,GEN,82.15,AIADMK,101829,92.83,False
61,Harur,AIADMK,99061,North,SC,78.46,AIADMK,75523,89.87,False
62,Chengam,DMK,108081,North,SC,80.66,AIADMK,87802,92.7,True
63,Tiruvannamalai,DMK,137876,North,GEN,71.69,DMK,88273,80.54,False
64,Kilpennathur,DMK,104675,North,GEN,79.35,AIADMK,90503,93.06,True
65,Kalasapakkam,DMK,94134,North,GEN,80.36,AIADMK,89629,91.17,True
66,Polur,AIADMK,97732,North,GEN,82.33,TVK,67961,96.51,True
67,Arani,AIADMK,102961,North,GEN,79.84,AIADMK,76735,93.59,False
68,Cheyyar,DMK,102460,North,GEN,81.69,AIADMK,86680,92.33,True
69,Vandavasi,DMK,102064,North,SC,76.81,DMK,63805,90.24,False
70,Gingee,DMK,109625,Central,GEN,78.21,PMK,78201,91.55,True
71,Mailam,PMK,81044,Central,GEN,79.5,AIADMK,82353,90.91,True
72,Tindivanam,AIADMK,87152,Central,SC,78.43,VCK,63833,90.97,True
73,Vanur,AIADMK,92219,Central,SC,79.79,DMK,68873,92.72,True
74,Villupuram,DMK,102271,Central,GEN,76.97,DMK,72982,89.94,False
75,Vikravandi,DMK,93730,Central,GEN,81.39,PMK,69727,92.39,True
76,Tirukkoyilur,DMK,110980,Central,GEN,76.27,AIADMK,73033,89.74,True
77,Ulundurpet,DMK,115451,Central,GEN,82.62,DMK,98471,95.02,False
78,Rishivandiam,DMK,113912,Central,GEN,80.18,DMK,89711,92.42,False
79,Sankarapuram,DMK,121186,Central,GEN,79.58,AIADMK,80250,86.67,True
80,Kallakurichi,AIADMK,110643,Central,SC,78.16,TVK,81132,93.07,True
81,Gangavalli,AIADMK,89568,Central,SC,77.11,AIADMK,73167,87.13,False
82,Attur,AIADMK,95308,Central,SC,77.26,AIADMK,80843,90.58,False
83,Yercaud,AIADMK,121561,Central,ST,83.09,AIADMK,87772,96.42,False
84,Omalur,AIADMK,142488,Central,GEN,83.28,AIADMK,112246,95.14,False
85,Mettur,PMK,97055,Central,GEN,75.01,AIADMK,86498,87.34,True
86,Edapadi,AIADMK,163154,Central,GEN,85.64,AIADMK,148933,96.81,False
87,Sankari,AIADMK,115472,Central,GEN,83.71,AIADMK,87342,96.33,False
88,Salem (West),PMK,105483,Central,GEN,71.81,TVK,120407,84.03,True
89,Salem (North),DMK,93432,Central,GEN,72.14,TVK,85710,81.66,True
90,Salem (South),AIADMK,97506,Central,GEN,76.0,TVK,91371,87.72,True
91,Veerapandi,AIADMK,111682,Central,GEN,85.64,TVK,79907,96.79,True
92,Rasipuram,DMK,90727,Central,SC,82.05,TVK,74808,94.46,True
93,Sendamangalam,DMK,90681,Central,ST,80.93,TVK,68815,95.44,True
